task No.,task_name,execution_time,resource_load,earliest_time,latest_time
0,DWC_MS.USP_PRC_REL_ACTIVATION_IM,3,0.057,4,1438
1,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_SCI_exp,7,0.04,3,1435
2,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_SCI_exp,4,0.047,3,1435
3,cam/cam_ms/fact_prc_pc_region_daily_sell_in_exp,3,0.055,0,1437
4,cam/cam_ms/fact_prc_region_pushout_by_product_no_exp,7,0.042,3,1435
5,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMBCON_exp,3,0.039,4,1438
6,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMB_exp,3,0.033,1,1438
7,cam/cam_ms/fact_prc_region_target_detail_exp,4,0.033,4,1436
8,cam/cam_ms/fact_prc_sd_region_daily_sell_in_exp,3,0.042,2,1435
9,cam/cam_ms/prc_manual_region_sale_actl_exp,2,0.032,0,1435
10,cam_corp.usp_dim_calendar_dt,7,0.048,2,1436
11,cam_corp.usp_dim_isg_china_lenovo_area_mapping,1,0.037,1,1437
12,cam_corp.usp_dim_isg_china_manage_region_and_lenovo_region_mapping,1,0.035,0,1436
13,cam_fi.usp_base_ebr_master_fact_delta,4,0.031,1,1438
14,cam_fi.usp_dim_bpc_geo,1,0.048,1,1436
15,cam_fi.usp_dim_current_exrt_to_usd,1,0.054,0,1437
16,cam_fi.usp_dim_fi_meas_backlog_cost_credit_dimension,1,0.05,2,1439
17,cam_fi.usp_dim_fi_pcsd_geo,1,0.03,0,1438
18,cam_fi.usp_dim_fi_pcsd_playbook_seg,1,0.056,3,1437
19,cam_fi.usp_dim_fi_pcsd_prd_high_growth,1,0.055,1,1437
20,cam_fi.usp_dim_fi_pcsd_product,1,0.044,4,1436
21,cam_fi.usp_dim_fi_pcsd_product_ind,1,0.049,0,1439
22,cam_fi.usp_dim_fi_pcsd_seg,1,0.039,1,1436
23,cam_fi.usp_dim_fi_qbr_chnl,1,0.037,3,1435
24,cam_fi.usp_dim_fi_qbr_geo,1,0.055,1,1439
25,cam_fi.usp_dim_fi_qbr_product,1,0.057,4,1438
26,cam_fi.usp_dim_fi_qbr_product_det,1,0.045,2,1438
27,cam_fi.usp_dim_fi_qbr_seg,1,0.058,1,1439
28,cam_fi.usp_dim_global_customer_identification_fi,1,0.053,4,1435
29,cam_fi.usp_dim_isg_cust_group,1,0.042,2,1436
30,cam_fi.usp_dim_isg_product_seg,1,0.049,2,1438
31,cam_fi.usp_dim_lenovo_calendar,1,0.046,4,1437
32,cam_fi.usp_dim_pcr_fiscal_period,1,0.035,2,1437
33,cam_fi.usp_dim_pcr_profit_performance_geo,1,0.031,4,1439
34,cam_fi.usp_dim_pcsd_backlog_product,1,0.048,2,1438
35,cam_fi.usp_dim_pcsd_backlog_profit_performance_geography,1,0.044,2,1438
36,cam_fi.usp_dim_pcsd_backlog_profit_performance_product,1,0.057,2,1437
37,cam_fi.usp_dim_pp_geo_fin,1,0.048,0,1435
38,cam_fi.usp_dim_pp_seg,1,0.059,0,1438
39,cam_fi.usp_dim_product_master_fi,2,0.055,1,1435
40,cam_fi.usp_dim_product_svc_upsell_fi,1,0.052,3,1438
41,cam_fi.usp_dim_svc_upsell_pp_product,1,0.035,1,1439
42,cam_fi.usp_dim_ww_fi_ssg_product_mapping,1,0.03,3,1437
43,cam_fi.usp_fact_cx_kpi_measures,1,0.04,2,1436
44,cam_fi.usp_fact_fi_actl_pnl_data_set,15,0.035,2,1439
45,cam_fi.usp_fact_fi_actl_pnl_data_set_new,12,0.051,1,1436
46,cam_fi.usp_fact_fi_meas_daily_transaction_tmc_projection_delta_full,3,0.038,1,1437
47,cam_fi.usp_fact_fi_pcsd_playbook_actual_backlog_dataset,1,0.055,2,1436
48,cam_fi.usp_fact_fi_pcsd_playbook_actual_dataset,2,0.047,2,1437
49,cam_fi.usp_fact_fi_pcsd_playbook_adhoc_dataset,1,0.034,3,1439
50,cam_fi.usp_fact_fi_pcsd_playbook_bpc_dataset,1,0.045,1,1439
51,cam_fi.usp_fact_fi_playbook_ssg_dataset,1,0.058,0,1437
52,cam_fi.usp_fact_fi_qbr_por_consolidated_dataset,1,0.037,4,1439
53,cam_fi.usp_fact_fin_qbr_por_consolidated_data_set_w_qtd,3,0.047,1,1435
54,cam_fi.usp_fact_isg_bms_fin_data_set,3,0.057,1,1437
55,cam_fi.usp_fact_isg_fi_bgt_center_l3_mapping,1,0.047,2,1437
56,cam_fi.usp_fact_isg_fi_mthly_trend_report,1,0.059,0,1436
57,cam_fi.usp_fact_isg_fi_subpackage_mapping,1,0.044,0,1439
58,cam_fi.usp_fact_isg_idc_tracker,2,0.038,0,1438
59,cam_fi.usp_fact_isg_operational_and_ext_pcon,1,0.036,0,1438
60,cam_fi.usp_fact_isg_pipeline,1,0.051,1,1439
61,cam_fi.usp_fact_isg_seg_master_coo_budapest,1,0.042,1,1435
62,cam_fi.usp_fact_isg_seg_master_coo_cost,1,0.032,0,1437
63,cam_fi.usp_fact_isg_seg_master_coo_monterrey,1,0.05,1,1438
64,cam_fi.usp_fact_isg_seg_master_kpi_hpc,1,0.03,1,1437
65,cam_fi.usp_fact_isg_seg_master_kpi_mega,1,0.047,1,1438
66,cam_fi.usp_fact_isg_seg_master_kpi_pipeline_projection,1,0.046,2,1438
67,cam_fi.usp_fact_isg_seg_master_kpi_prc_loads,1,0.056,2,1435
68,cam_fi.usp_fact_isg_seg_master_kpi_prc_pipeline,1,0.038,4,1438
69,cam_fi.usp_fact_isg_seg_master_kpi_sale_ops,1,0.051,2,1438
70,cam_fi.usp_fact_isg_seg_master_kpi_server,1,0.045,2,1435
71,cam_fi.usp_fact_isg_seg_performance_geo_load_track,1,0.03,1,1437
72,cam_fi.usp_fact_isg_seg_performance_loads_data_set,1,0.031,2,1439
73,cam_fi.usp_fact_isg_seg_performance_order_loads_detail,1,0.05,1,1437
74,cam_fi.usp_fact_isg_sw_rev_by_vendor,1,0.048,4,1435
75,cam_fi.usp_fact_opslc_operation_dcg,1,0.048,4,1437
76,cam_fi.usp_fact_optimus_sw_details,2,0.038,3,1435
77,cam_fi.usp_fact_pcsd_backlog_master,3,0.059,3,1438
78,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset,2,0.052,0,1439
79,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset_new,9,0.054,4,1435
80,cam_fi.usp_fact_prc_new_ebr_sti_master_delta,1,0.035,2,1438
