task No.,task_name,start_time
0,cam_ms.usp_fact_prc_daily_sell_in,491
1,cam_ms.usp_fact_prc_agg_sell_in,499
2,cam_ms.usp_fact_prc_agg_eff_sales_order,538
3,cam_ms.usp_fact_prc_daily_sell_in_target,483
4,cam_ms.usp_fact_prc_daily_fgi_wo_order,536
5,cam_ms.usp_fact_prc_daily_eff_sales_order,527
6,cam_ms.usp_fact_qtrly_idc_yoy,444
7,cam_ms.usp_fact_prc_idg_sd_daily_sell_in,487
8,cam_ms.usp_fact_prc_idg_pc_daily_sell_in,488
9,cam_ms.usp_fact_prc_daily_sell_in_snapshot,488
10,cam_ms.usp_fact_prc_daily_aging_fgi,514
11,cam_ms.usp_fact_daily_lecoo_sell_in,485
12,cam_ms.usp_dim_prc_business_unit_hier,421
13,cam_ms.usp_dim_prc_cust_seg_hier,440
14,dwc_ms.usp_lecoo_sales_data_dwc,430
15,dwd_ms.usp_prc_daily_cadence_and_target_target,227
16,dwd_ms.usp_prc_daily_cadence_and_target_cadence,177
17,dwc_ms.usp_fgi_inhouse_vmi_wo_order,427
18,dwc_ms.usp_china_idc_yoy_target,533
19,dwc_ms.usp_fgi_inhouse_vmi,511
20,dwc_ms.usp_sell_in_kpi_dwc_sci,420
21,dwc_ms.usp_sell_in_kpi_dwc_xinchuang,457
22,dwc_ms.usp_sell_in_kpi_dwc_finance_update,438
23,dwc_ms.usp_sell_in_kpi_dwc_bw_and_lecoo_duichong,463
24,dwc_ms.usp_sell_in_kpi_dwc_manual_adj,424
25,dwc_ms.usp_sell_in_kpi_dwc_huishang,446
26,dwc_ms.usp_sell_in_kpi_dwc_cdc,424
27,dwc_ms.usp_sell_in_kpi_dwc_bw_184update,458
28,dwc_ms.usp_sell_in_kpi_dwc_rel,449
29,dwc_ms.usp_sell_in_kpi_dwc_csdc,442
30,dwc_ms.usp_sell_in_kpi_dwc_del_xc,445
31,dwc_ms.usp_sell_in_kpi_dwc_xinchuang_supply,450
32,dwc_ms.usp_sell_in_kpi_dwc_rel_supply,448
33,dwc_ms.usp_sell_in_kpi_dwc_common,462
34,dwc_ms.usp_sell_in_kpi_dwc_bw_s4,485
35,dwd_ms.usp_bp_determ,237
36,dwd_ms.usp_smb_cust_seg,187
37,dwd_ms.usp_con_cust_seg,236
38,dwd_ms.usp_lecoo_final_sales_data,205
39,dwd_ms.usp_lecoo_bulevel6_mapping,152
40,dwd_ms.usp_lecoo_lebei_store_info,200
41,dwd_ms.usp_lecoo_prc_province,230
42,dwd_ms.usp_product_characteristic_mapping,239
43,dwd_ms.usp_lecoo_daily_sales_data,165
44,dwd_ms.usp_prc_business_unit_lvl,191
45,dwd_ms.usp_con_lecoo_cust_seg_chnl_mapping,214
46,dwd_ms.usp_con_product_seg_by_ph4,228
47,dwd_ms.usp_smb_lecoo_cust_seg_channel_mapping,232
48,dwd_ms.usp_smb_product_seg_by_ph4,211
49,dwd_ms.usp_lecoo_internal_supplier,185
50,dwd_ms.usp_lecoo_affiliated_cust,239
51,dwd_ms.usp_smb_cust_segmentation4_determ,194
52,dwd_ms.usp_con_cust_segmentation4_determ,163
53,dwd_ms.usp_product_ln_to_business_unit,169
54,dwd_ms.usp_fr_t_0102_bu_prf_mapping_new,192
55,dwd_ms.usp_fr_5s_bu_tree_mapping,226
56,dwd_ms.usp_rel_industry_order_info,219
57,dwd_ms.usp_smb_funding_rel,239
58,dwd_ms.usp_ciop_prc_bms_con_reseller_transformation,170
59,dwd_ms.usp_fr_t_0101_smb_bp_list,158
60,dwd_ms.usp_smb_rel_dflt_combat_unit,172
61,dwd_ms.usp_rel_xinchuang_info,235
62,dwd_ms.usp_third_party_gpn_mapping,233
63,dwd_ms.usp_cdc_and_rdc_shipping_reverse,180
64,dwd_ms.usp_rel_city_std_nm,156
65,dwd_ms.usp_prc_consumer_stock_transfer,223
66,dwd_ms.usp_rel_xinchuang_order,161
67,pl_ms_main_data_processing_detail,512
68,pl_ms_mian_data_isg_gp_processing_dashboard,455
69,pl_ms_main_data_processing_detail_by_sd,497
70,pl_ms_main_data_processing_dashboard,526
71,ods.usp_chinabpportal_purchasing_right,232
72,rdm.usp_rdm_m1004_prc_smb_customer_mapping_new,168
73,rdm.usp_rdm_m1004_prc_con_customer_mapping_new,229
74,ods.usp_lecoo_ms_salesdata_detail_final_udl,201
75,rdm.usp_rdm_t_m1001_lecoo_bu_mapping_smb,150
76,rdm.usp_rdm_t_m1001_lecoo_bu_mapping_con,150
77,ods.usp_chinabpportal_ludp_xfdlx_ms_e04_agencyinfo_cdl,198
78,ods.usp_chinabpportal_ludp_xfdlx_ms_e04_province_cdl,176
79,rdm.usp_rdm_t_8000_prd_alc_mtm_list,203
80,ods.usp_chinabpportal_T_Lenovo_Lecoo_SalesData_Daily_ST,160
81,rdm.usp_rdm_t_0101_bu,156
82,rdm.usp_rdm_t_m1001_lecoo_cus_sgm_mapping_con,162
83,rdm.usp_rdm_m1002_prc_con_product_mapping_new,165
84,rdm.usp_rdm_t_m1001_lecoo_cus_sgm_mapping_smb,219
85,rdm.usp_rdm_m1002_prc_smb_product_mapping,209
86,rdm.usp_rdm_t_m1001_lecoo_provider_list,182
87,rdm.usp_rdm_t_m1001_lecoo_cus_list,236
88,rdm.usp_rdm_m1001_prc_smb_customer,172
89,rdm.usp_rdm_t_dailyca_prc_bms_mapping_keychannel,153
90,rdm.usp_rdm_product_line_to_business_unit,164
91,ods.usp_fr_t_0102_bu_prf_mapping_new,190
92,ods.usp_fr_5s_bu_tree_mapping,181
93,ods.usp_rel_d_orderdatainfo,185
94,rdm.usp_rdm_m1004_prc_bp_smb_dz_mapping,153
95,ods.usp_ciop_prc_bms_con_reseller_transformation,167
96,ods.usp_fr_t_0101_smb_bp_list,150
97,rdm.usp_rdm_t_m2001_region_combatunit_mapping,159
98,ods.usp_rel_d_orderdatainfo_xc,222
99,rdm.usp_rdm_third_party_gpn_mapping,171
100,rdm.usp_rdm_cdc_and_rdc_shipping_reverse,178
101,rdm.usp_rdm_t_0101_rel_city_cleaning,154
102,ods.usp_csdc_ts_sec_stocktransferdatadump,174
103,ods.usp_rel_d_orderdatadetail_xc,157
104,dwd_ms.usp_prc_sale_order_hdr,226
105,dwc_ms.usp_prc_idg_fi_reporting_sale,474
106,dwd_ms.usp_prc_sale_order_ln_item,193
107,ods.csdc_ts_sec_stocktransferdatadump,175
