task No.,task_name,start_time,end_time,execution_time,earliest_time,latest_time,resource_load
0,cam_ms.usp_fact_prc_daily_sell_in,490,495,5,420,540,0.07
1,cam_ms.usp_fact_prc_agg_sell_in,501,513,12,420,540,0.056
2,cam_ms.usp_fact_prc_agg_eff_sales_order,532,534,2,420,540,0.048
3,cam_ms.usp_fact_prc_daily_sell_in_target,457,458,1,420,540,0.074
4,cam_ms.usp_fact_prc_daily_fgi_wo_order,458,459,1,420,540,0.05
5,cam_ms.usp_fact_prc_daily_eff_sales_order,527,532,5,420,540,0.07
6,cam_ms.usp_fact_qtrly_idc_yoy,449,451,2,420,540,0.049
7,cam_ms.usp_fact_prc_idg_sd_daily_sell_in,490,500,10,420,540,0.044
8,cam_ms.usp_fact_prc_idg_pc_daily_sell_in,490,501,11,420,540,0.047
9,cam_ms.usp_fact_prc_daily_sell_in_snapshot,495,497,2,420,540,0.061
10,cam_ms.usp_fact_prc_daily_aging_fgi,455,467,12,420,540,0.041
11,cam_ms.usp_fact_daily_lecoo_sell_in,458,459,1,420,540,0.044
12,cam_ms.usp_dim_prc_business_unit_hier,449,451,2,420,540,0.07
13,cam_ms.usp_dim_prc_cust_seg_hier,451,453,2,420,540,0.053
14,dwc_ms.usp_lecoo_sales_data_dwc,430,439,9,420,540,0.066
15,dwd_ms.usp_prc_daily_cadence_and_target_target,150,154,4,150,240,0.057
16,dwd_ms.usp_prc_daily_cadence_and_target_cadence,150,153,3,150,240,0.051
17,dwc_ms.usp_fgi_inhouse_vmi_wo_order,430,439,9,420,540,0.036
18,dwc_ms.usp_china_idc_yoy_target,459,460,1,420,540,0.031
19,dwc_ms.usp_fgi_inhouse_vmi,453,455,2,420,540,0.033
20,dwc_ms.usp_sell_in_kpi_dwc_sci,420,445,25,420,540,0.063
21,dwc_ms.usp_sell_in_kpi_dwc_xinchuang,451,455,4,420,540,0.054
22,dwc_ms.usp_sell_in_kpi_dwc_finance_update,445,448,3,420,540,0.057
23,dwc_ms.usp_sell_in_kpi_dwc_bw_and_lecoo_duichong,420,430,10,420,540,0.061
24,dwc_ms.usp_sell_in_kpi_dwc_manual_adj,445,449,4,420,540,0.044
25,dwc_ms.usp_sell_in_kpi_dwc_huishang,446,449,3,420,540,0.064
26,dwc_ms.usp_sell_in_kpi_dwc_cdc,455,457,2,420,540,0.069
27,dwc_ms.usp_sell_in_kpi_dwc_bw_184update,455,457,2,420,540,0.045
28,dwc_ms.usp_sell_in_kpi_dwc_rel,439,446,7,420,540,0.07
29,dwc_ms.usp_sell_in_kpi_dwc_csdc,457,459,2,420,540,0.035
30,dwc_ms.usp_sell_in_kpi_dwc_del_xc,448,451,3,420,540,0.067
31,dwc_ms.usp_sell_in_kpi_dwc_xinchuang_supply,451,455,4,420,540,0.052
32,dwc_ms.usp_sell_in_kpi_dwc_rel_supply,451,465,14,420,540,0.037
33,dwc_ms.usp_sell_in_kpi_dwc_common,465,490,25,420,540,0.068
34,dwc_ms.usp_sell_in_kpi_dwc_bw_s4,459,460,1,420,540,0.053
35,dwd_ms.usp_bp_determ,185,186,1,150,240,0.069
36,dwd_ms.usp_smb_cust_seg,185,186,1,150,240,0.048
37,dwd_ms.usp_con_cust_seg,185,186,1,150,240,0.048
38,dwd_ms.usp_lecoo_final_sales_data,186,187,1,150,240,0.056
39,dwd_ms.usp_lecoo_bulevel6_mapping,186,187,1,150,240,0.064
40,dwd_ms.usp_lecoo_lebei_store_info,186,187,1,150,240,0.045
41,dwd_ms.usp_lecoo_prc_province,187,188,1,150,240,0.061
42,dwd_ms.usp_product_characteristic_mapping,187,188,1,150,240,0.04
43,dwd_ms.usp_lecoo_daily_sales_data,187,188,1,150,240,0.03
44,dwd_ms.usp_prc_business_unit_lvl,187,188,1,150,240,0.075
45,dwd_ms.usp_con_lecoo_cust_seg_chnl_mapping,188,189,1,150,240,0.057
46,dwd_ms.usp_con_product_seg_by_ph4,188,189,1,150,240,0.065
47,dwd_ms.usp_smb_lecoo_cust_seg_channel_mapping,188,189,1,150,240,0.072
48,dwd_ms.usp_smb_product_seg_by_ph4,189,190,1,150,240,0.051
49,dwd_ms.usp_lecoo_internal_supplier,189,190,1,150,240,0.042
50,dwd_ms.usp_lecoo_affiliated_cust,189,190,1,150,240,0.071
51,dwd_ms.usp_smb_cust_segmentation4_determ,189,190,1,150,240,0.041
52,dwd_ms.usp_con_cust_segmentation4_determ,190,191,1,150,240,0.033
53,dwd_ms.usp_product_ln_to_business_unit,190,191,1,150,240,0.064
54,dwd_ms.usp_fr_t_0102_bu_prf_mapping_new,190,191,1,150,240,0.045
55,dwd_ms.usp_fr_5s_bu_tree_mapping,190,191,1,150,240,0.062
56,dwd_ms.usp_rel_industry_order_info,157,159,2,150,240,0.075
57,dwd_ms.usp_smb_funding_rel,191,192,1,150,240,0.065
58,dwd_ms.usp_ciop_prc_bms_con_reseller_transformation,191,192,1,150,240,0.036
59,dwd_ms.usp_fr_t_0101_smb_bp_list,191,192,1,150,240,0.056
60,dwd_ms.usp_smb_rel_dflt_combat_unit,191,192,1,150,240,0.038
61,dwd_ms.usp_rel_xinchuang_info,192,193,1,150,240,0.069
62,dwd_ms.usp_third_party_gpn_mapping,192,193,1,150,240,0.038
63,dwd_ms.usp_cdc_and_rdc_shipping_reverse,192,193,1,150,240,0.033
