task No.,task_name,start_time,end_time,execution_time,earliest_time,latest_time,resource_load
0,DWC_MS.USP_PRC_REL_ACTIVATION_IM,763,766,3,4,1438,0.057
1,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_SCI_exp,296,303,7,3,1435,0.04
2,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_SCI_exp,382,386,4,3,1435,0.047
3,cam/cam_ms/fact_prc_pc_region_daily_sell_in_exp,614,617,3,0,1437,0.055
4,cam/cam_ms/fact_prc_region_pushout_by_product_no_exp,300,307,7,3,1435,0.042
5,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMBCON_exp,763,766,3,4,1438,0.039
6,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMB_exp,763,766,3,1,1438,0.033
7,cam/cam_ms/fact_prc_region_target_detail_exp,420,424,4,4,1436,0.033
8,cam/cam_ms/fact_prc_sd_region_daily_sell_in_exp,420,423,3,2,1435,0.042
9,cam/cam_ms/prc_manual_region_sale_actl_exp,493,495,2,0,1435,0.032
10,cam_corp.usp_dim_calendar_dt,320,327,7,2,1436,0.048
11,cam_corp.usp_dim_isg_china_lenovo_area_mapping,900,901,1,1,1437,0.037
12,cam_corp.usp_dim_isg_china_manage_region_and_lenovo_region_mapping,763,764,1,0,1436,0.035
13,cam_fi.usp_base_ebr_master_fact_delta,1163,1167,4,1,1438,0.031
14,cam_fi.usp_dim_bpc_geo,1002,1003,1,1,1436,0.048
15,cam_fi.usp_dim_current_exrt_to_usd,900,901,1,0,1437,0.054
16,cam_fi.usp_dim_fi_meas_backlog_cost_credit_dimension,1188,1189,1,2,1439,0.05
17,cam_fi.usp_dim_fi_pcsd_geo,1022,1023,1,0,1438,0.03
18,cam_fi.usp_dim_fi_pcsd_playbook_seg,900,901,1,3,1437,0.056
19,cam_fi.usp_dim_fi_pcsd_prd_high_growth,901,902,1,1,1437,0.055
20,cam_fi.usp_dim_fi_pcsd_product,1109,1110,1,4,1436,0.044
21,cam_fi.usp_dim_fi_pcsd_product_ind,1121,1122,1,0,1439,0.049
22,cam_fi.usp_dim_fi_pcsd_seg,925,926,1,1,1436,0.039
23,cam_fi.usp_dim_fi_qbr_chnl,801,802,1,3,1435,0.037
24,cam_fi.usp_dim_fi_qbr_geo,1139,1140,1,1,1439,0.055
25,cam_fi.usp_dim_fi_qbr_product,1023,1024,1,4,1438,0.057
26,cam_fi.usp_dim_fi_qbr_product_det,1108,1109,1,2,1438,0.045
27,cam_fi.usp_dim_fi_qbr_seg,1122,1123,1,1,1439,0.058
28,cam_fi.usp_dim_global_customer_identification_fi,865,866,1,4,1435,0.053
29,cam_fi.usp_dim_isg_cust_group,801,802,1,2,1436,0.042
30,cam_fi.usp_dim_isg_product_seg,1110,1111,1,2,1438,0.049
31,cam_fi.usp_dim_lenovo_calendar,901,902,1,4,1437,0.046
32,cam_fi.usp_dim_pcr_fiscal_period,901,902,1,2,1437,0.035
33,cam_fi.usp_dim_pcr_profit_performance_geo,1122,1123,1,4,1439,0.031
34,cam_fi.usp_dim_pcsd_backlog_product,1024,1025,1,2,1438,0.048
35,cam_fi.usp_dim_pcsd_backlog_profit_performance_geography,1186,1187,1,2,1438,0.044
36,cam_fi.usp_dim_pcsd_backlog_profit_performance_product,1185,1186,1,2,1437,0.057
37,cam_fi.usp_dim_pp_geo_fin,615,616,1,0,1435,0.048
38,cam_fi.usp_dim_pp_seg,1024,1025,1,0,1438,0.059
39,cam_fi.usp_dim_product_master_fi,661,663,2,1,1435,0.055
40,cam_fi.usp_dim_product_svc_upsell_fi,1138,1139,1,3,1438,0.052
41,cam_fi.usp_dim_svc_upsell_pp_product,1123,1124,1,1,1439,0.035
42,cam_fi.usp_dim_ww_fi_ssg_product_mapping,901,902,1,3,1437,0.03
43,cam_fi.usp_fact_cx_kpi_measures,764,765,1,2,1436,0.04
